66|SF282|1|2|CETES 28|Cetes 28 días Tasa de rendimiento promedio mensual, en por ciento anual|\N|\N|\N|1|\N|\N
67|SF3338|1|2|CETES 91|Cetes 91 días Tasa de rendimiento promedio mensual, en por ciento anual|\N|\N|\N|1|\N|\N
68|SF3270|1|2|CETES 182|Cetes 182 días tasa de rendimiento Tasa de rendimiento promedio mensual, en por ciento anual|\N|\N|\N|1|\N|\N
69|SF3367|1|2|CETES 364|Cetes 364 días Tasa de rendimiento promedio mensual, en por ciento anual|\N|\N|\N|1|\N|\N
70|SF229266|1|2|CNH China (Yuan Extracontinental), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, CNH China (Yuan Extracontinental), Dólares por divisa	|2013-07-01|\N|\N|1|\N|\N
71|SF229267|1|2|CNH China (Yuan Extracontinental), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CNH China (Yuan Extracontinental), Tipo en pesos	|2013-07-01|\N|\N|1|\N|\N
72|SF57746|1|2|CNH China (Yuan Extracontinental), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CNH China (Yuan Extracontinental), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
73|SF57747|1|2|CNH China (Yuan Extracontinental), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, CNH China (Yuan Extracontinental), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
74|SF57748|1|2|DZD Argelia (Dinar), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, DZD Argelia (Dinar), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
75|SF57749|1|2|DZD Argelia (Dinar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, DZD Argelia (Dinar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
76|SF57750|1|2|ARP Argentina (Peso), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, ARP Argentina (Peso), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
77|SF57751|1|2|ARP Argentina (Peso), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, ARP Argentina (Peso), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
78|SF57752|1|2|AUD Australia (Dólar), Dólares por divisa	|Tipos de Cambio para Revalorización de Balance del Banco de México, AUD Australia (Dólar), Dólares por divisa	|2000-01-01|\N|\N|1|\N|\N
79|SF57753|1|2|AUD Australia (Dólar), Tipo en pesos	|Tipos de Cambio para Revalorización de Balance del Banco de México, AUD Australia (Dólar), Tipo en pesos	|2000-01-01|\N|\N|1|\N|\N
80|SF57754|1|2|BSD Bahamas (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, BSD Bahamas (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
81|SF57755|1|2|BSD Bahamas (Dólar), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México,  BSD Bahamas (Dólar), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
82|SF57758|1|2|BBD Barbados (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México,  BBD Barbados (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
83|SF57759|1|2|BBD Barbados (Dólar), Tipo en pesos|Tipos de Cambio para Revalorización de Balance del Banco de México,  BBD Barbados (Dólar), Tipo en pesos|2000-01-01|\N|\N|1|\N|\N
84|SF57760|1|2|BZD Belice (Dólar), Dólares por divisa|Tipos de Cambio para Revalorización de Balance del Banco de México, BZD Belice (Dólar), Dólares por divisa|2000-01-01|\N|\N|1|\N|\N
