,fecha,Reserva_Comercial_Empresa,0,1,2
0,2014-01-01,,,,
1,2014-02-01,,,,
2,2014-03-01,,,,
3,2014-04-01,,,,
4,2014-05-01,,,,
5,2014-06-01,,,,
6,2014-07-01,,,,
7,2014-08-01,,,,
8,2014-09-01,,,,
9,2014-10-01,,,,
10,2014-11-01,,,,
11,2014-12-01,,,,
12,2015-01-01,1.79698424001111,,,
13,2015-02-01,1.77925860567359,,,
14,2015-03-01,1.67010043105329,,,
15,2015-04-01,1.77952969745354,,,
16,2015-05-01,1.7505109655366298,,,
17,2015-06-01,1.7356726642834899,,,
18,2015-07-01,1.76333249647536,,,
19,2015-08-01,1.8603572581038401,,,
20,2015-09-01,1.88921785891406,,,
21,2015-10-01,1.8475384356933102,,,
22,2015-11-01,1.78058603669749,,,
23,2015-12-01,1.7644400469080501,,,
24,2016-01-01,1.7846647874632902,,,
25,2016-02-01,1.8108496488731998,,,
26,2016-03-01,1.6635441029892901,,,
27,2016-04-01,1.56507217246886,,,
28,2016-05-01,1.4776075800906203,,,
29,2016-06-01,1.48777428971858,,,
30,2016-07-01,1.51550490044352,,,
31,2016-08-01,1.5436078061518899,,,
32,2016-09-01,1.61398535920999,,,
33,2016-10-01,1.5946092543142198,,,
34,2016-11-01,1.5431536184147598,,,
35,2016-12-01,1.4842998872031798,,,
36,2017-01-01,1.5240994608440301,,,
37,2017-02-01,1.5226853275868701,,,
38,2017-03-01,1.57041201433283,,,
39,2017-04-01,1.58718464082054,,,
40,2017-05-01,1.6767722369938503,,,
41,2017-06-01,1.6701160002534101,,,
42,2017-07-01,1.67780998573407,,,
43,2017-08-01,1.6975686015105,,,
44,2017-09-01,1.71230844516227,,,
45,2017-10-01,1.76705625099675,,,
46,2017-11-01,1.7932067278919,,,
47,2017-12-01,1.6177314587611598,,,
48,2018-01-01,1.57252179019627,,,
49,2018-02-01,1.64371979480557,,,
50,2018-03-01,1.6194421592511103,,,
51,2018-04-01,1.6804295868707202,,,
52,2018-05-01,1.6440290381675402,,,
53,2018-06-01,1.6220740779404097,,,
54,2018-07-01,1.67277372445429,,,
55,2018-08-01,1.68091937817274,,,
56,2018-09-01,1.6164004101936498,,,
57,2018-10-01,1.60769875682214,,,
58,2018-11-01,1.5945451136638702,,,
59,2018-12-01,1.57185224502204,,,
60,2019-01-01,1.5503538869442701,,,
61,2019-02-01,1.57809713804519,,,
62,2019-03-01,,1.4612674001124493,1.3914613965227733,1.5345753895634209
63,2019-04-01,,1.405575328939546,1.284531372724401,1.5380254988504602
64,2019-05-01,,1.3136367467397996,1.1597673258871073,1.4879204335793643
65,2019-06-01,,1.3077166201864296,1.1194378250228167,1.5276621179715477
66,2019-07-01,,1.334465410174849,1.096082949629012,1.624692667243724
67,2019-08-01,,1.3559637584759474,1.0597808810624518,1.734922517621705
68,2019-09-01,,1.3888357297794385,1.0314858571107606,1.8699865548470285
69,2019-10-01,,1.356114455976777,0.9581677798471753,1.9193365258039796
70,2019-11-01,,1.30323372570324,0.872995478623555,1.9455062315880836
71,2019-12-01,,1.2639841318295058,0.7987109563572948,2.0002929380151078
72,2020-01-01,,1.2848554566169796,0.7636552345321078,2.1617786007973954
73,2020-02-01,,1.2704413152555278,0.7096011158208049,2.2745470652779853
74,2020-03-01,,1.2703369919900012,0.662075632436181,2.437419524534092
75,2020-04-01,,1.2524132128225032,0.6058709029150475,2.5888994637399154
76,2020-05-01,,1.2830731496052035,0.5744574867692139,2.8657938057289214
77,2020-06-01,,1.2643976066795288,0.5231384837038396,3.0559810787729798
78,2020-07-01,,1.2548788970981022,0.47810347021661664,3.293682527902763
79,2020-08-01,,1.2555235713137385,0.43876555793801875,3.5926690452468986
80,2020-09-01,,1.2614136031531398,0.40315502156157046,3.94678025355262
81,2020-10-01,,1.2715263445180103,0.3709303300863133,4.358714059395248
82,2020-11-01,,1.2572007034473938,0.33393442420881,4.733125710215182
83,2020-12-01,,1.1238194877176595,0.2710064636478108,4.6602956400895605
84,2021-01-01,,1.084236845133678,0.23674078030872112,4.965640202809306
85,2021-02-01,,1.1022953569423424,0.2174622678712379,5.587429331216645
86,2021-03-01,,1.0781449510884,0.19196435552472188,6.055272773844261
87,2021-04-01,,1.0939075756259993,0.17545411134094038,6.8202094260798845
88,2021-05-01,,1.0669901089888545,0.15381816032694134,7.401388043259834
89,2021-06-01,,1.0300181164164828,0.1331839977963242,7.965951898880757
90,2021-07-01,,1.031503175801377,0.1194421643748912,8.908066990051942
91,2021-08-01,,1.0114875402504448,0.10471441511333993,9.770450830236825
92,2021-09-01,,0.9537061941576357,0.08810383729215183,10.323676388334379
93,2021-10-01,,0.9316542545305473,0.07665445914478018,11.323276684341138
94,2021-11-01,,0.9046474082202488,0.06618083226753928,12.365920843836529
95,2021-12-01,,0.8509234933428677,0.05526001086623768,13.102979535699225
