,fecha,Reserva_Comercial,0,1,2
0,2014-01-01,2.8,,,
1,2014-02-01,2.67,,,
2,2014-03-01,2.62,,,
3,2014-04-01,2.59,,,
4,2014-05-01,2.57,,,
5,2014-06-01,2.49,,,
6,2014-07-01,2.55,,,
7,2014-08-01,2.63,,,
8,2014-09-01,2.57,,,
9,2014-10-01,2.61,,,
10,2014-11-01,2.56,,,
11,2014-12-01,2.45,,,
12,2015-01-01,2.5,,,
13,2015-02-01,2.47,,,
14,2015-03-01,2.32,,,
15,2015-04-01,2.38,,,
16,2015-05-01,2.34,,,
17,2015-06-01,2.36,,,
18,2015-07-01,2.39,,,
19,2015-08-01,2.48,,,
20,2015-09-01,2.53,,,
21,2015-10-01,2.38,,,
22,2015-11-01,2.33,,,
23,2015-12-01,2.22,,,
24,2016-01-01,2.25,,,
25,2016-02-01,2.28,,,
26,2016-03-01,2.11,,,
27,2016-04-01,2.0,,,
28,2016-05-01,1.94,,,
29,2016-06-01,2.02,,,
30,2016-07-01,2.04,,,
31,2016-08-01,2.08,,,
32,2016-09-01,2.16,,,
33,2016-10-01,2.15,,,
34,2016-11-01,2.12,,,
35,2016-12-01,2.09,,,
36,2017-01-01,2.14,,,
37,2017-02-01,2.1,,,
38,2017-03-01,2.08,,,
39,2017-04-01,2.11,,,
40,2017-05-01,2.17,,,
41,2017-06-01,2.12,,,
42,2017-07-01,2.16,,,
43,2017-08-01,2.14,,,
44,2017-09-01,2.18,,,
45,2017-10-01,2.23,,,
46,2017-11-01,2.22,,,
47,2017-12-01,2.06,,,
48,2018-01-01,2.05,,,
49,2018-02-01,2.08,,,
50,2018-03-01,2.06,,,
51,2018-04-01,2.14,,,
52,2018-05-01,2.11,,,
53,2018-06-01,2.12,,,
54,2018-07-01,2.18,,,
55,2018-08-01,2.21,,,
56,2018-09-01,2.16,,,
57,2018-10-01,2.12,,,
58,2018-11-01,2.09,,,
59,2018-12-01,2.07,,,
60,2019-01-01,2.05,,,
61,2019-02-01,2.07,,,
62,2019-03-01,,1.9272645434463667,1.8427097351481407,2.015699244204039
63,2019-04-01,,1.8829744430078414,1.7647107985893464,2.0091636294484765
64,2019-05-01,,1.8336925861930808,1.6907577648307783,1.9887109617952883
65,2019-06-01,,1.8911073726614767,1.7243177083267631,2.074030254207003
66,2019-07-01,,1.9053439109352535,1.7109233761628726,2.1218573955543727
67,2019-08-01,,1.9334887186515954,1.7053972561245188,2.1920866893197535
68,2019-09-01,,1.9726297854891763,1.7057007494549126,2.281331160722418
69,2019-10-01,,1.9506761221933875,1.6546235474521078,2.299699735057451
70,2019-11-01,,1.912587187799449,1.5907456954231007,2.2995440198011448
71,2019-12-01,,1.8751448622710885,1.5280100523080737,2.3011420960159614
72,2020-01-01,,1.8920140701882597,1.5086119505953886,2.372854888480483
73,2020-02-01,,1.8562046415638422,1.4471686092228362,2.3808529630928525
74,2020-03-01,,1.79855820030484,1.3643464021141556,2.370960626180569
75,2020-04-01,,1.7937799432567298,1.323689946979647,2.430815835817171
76,2020-05-01,,1.8045963928284372,1.294841849457211,2.515031578856166
77,2020-06-01,,1.7679337077903716,1.2335693097734948,2.53377704063935
78,2020-07-01,,1.7781483049428704,1.2048454198086782,2.624246515269385
79,2020-08-01,,1.7521981634672223,1.1517354230323062,2.665715009419996
80,2020-09-01,,1.7643632259392528,1.1239359168668133,2.769710929538393
81,2020-10-01,,1.768429346020677,1.0911681920372958,2.8660497755420535
82,2020-11-01,,1.7316024553725744,1.0341848113576022,2.89933388164557
83,2020-12-01,,1.6058150167922303,0.9276186280764658,2.7798513204748487
84,2021-01-01,,1.5803524343879958,0.8822695703944199,2.830783131010114
85,2021-02-01,,1.567553106711957,0.8451568283353414,2.9074163042641015
86,2021-03-01,,1.520326190589052,0.7904161406147628,2.924271920855874
87,2021-04-01,,1.5389894010130334,0.77105692061015,3.0717425823196454
88,2021-05-01,,1.4989024593451232,0.7232260223177484,3.1065096018403087
89,2021-06-01,,1.4715894700424428,0.6834579265153916,3.16855725030651
90,2021-07-01,,1.478372565500916,0.6603662036856854,3.309656718086732
91,2021-08-01,,1.4613373619148964,0.627347015584991,3.4040281252267746
92,2021-09-01,,1.410816399764787,0.5816683108361017,3.4218864544713288
93,2021-10-01,,1.363852785493886,0.539701575542033,3.446523976942817
94,2021-11-01,,1.3149569583782843,0.49911678484085314,3.464343125504801
95,2021-12-01,,1.2557242276767004,0.45689040650468526,3.4512507015357428
