,fecha,Reserva_Comercial_Negocio,0,1,2
0,2014-01-01,,,,
1,2014-02-01,,,,
2,2014-03-01,,,,
3,2014-04-01,,,,
4,2014-05-01,,,,
5,2014-06-01,,,,
6,2014-07-01,,,,
7,2014-08-01,,,,
8,2014-09-01,,,,
9,2014-10-01,,,,
10,2014-11-01,,,,
11,2014-12-01,,,,
12,2015-01-01,4.212013570000971,,,
13,2015-02-01,4.17703287412995,,,
14,2015-03-01,3.98341240730859,,,
15,2015-04-01,3.8777403777238195,,,
16,2015-05-01,3.83424227487611,,,
17,2015-06-01,3.96851890316087,,,
18,2015-07-01,4.02975238914837,,,
19,2015-08-01,4.08505232614662,,,
20,2015-09-01,4.19746370208412,,,
21,2015-10-01,3.74087041714686,,,
22,2015-11-01,3.8151955814973904,,,
23,2015-12-01,3.4885260601414703,,,
24,2016-01-01,3.51510481603397,,,
25,2016-02-01,3.5757543249246697,,,
26,2016-03-01,3.39024506208579,,,
27,2016-04-01,3.2013090535821895,,,
28,2016-05-01,3.2268679570222796,,,
29,2016-06-01,3.4881288876210896,,,
30,2016-07-01,3.51275089882412,,,
31,2016-08-01,3.5859229607369603,,,
32,2016-09-01,3.71031463072529,,,
33,2016-10-01,3.75033090824512,,,
34,2016-11-01,3.7784733552243703,,,
35,2016-12-01,3.8471145976385897,,,
36,2017-01-01,3.9354629604784,,,
37,2017-02-01,3.8394844560826002,,,
38,2017-03-01,3.61193025538491,,,
39,2017-04-01,3.69722531290698,,,
40,2017-05-01,3.6623141234048395,,,
41,2017-06-01,3.49855393727148,,,
42,2017-07-01,3.61974512466479,,,
43,2017-08-01,3.49786791632815,,,
44,2017-09-01,3.6715551362327403,,,
45,2017-10-01,3.68419404470667,,,
46,2017-11-01,3.6023328942598796,,,
47,2017-12-01,3.56657446410939,,,
48,2018-01-01,3.6234403138909603,,,
49,2018-02-01,3.5561491143213,,,
50,2018-03-01,3.5334731945696802,,,
51,2018-04-01,3.6635543267364,,,
52,2018-05-01,3.66891772242692,,,
53,2018-06-01,3.82865535936194,,,
54,2018-07-01,3.9248087500855804,,,
55,2018-08-01,3.9746761277990097,,,
56,2018-09-01,4.03970066107349,,,
57,2018-10-01,3.9463649773295297,,,
58,2018-11-01,3.88782969591862,,,
59,2018-12-01,3.95337727784123,,,
60,2019-01-01,3.9621007927852006,,,
61,2019-02-01,3.96034608623164,,,
62,2019-03-01,,3.835554147556226,3.539671257762688,4.156170036009055
63,2019-04-01,,3.9552224989876565,3.512714759124899,4.453474332312539
64,2019-05-01,,3.941796158825449,3.3871636751591816,4.5872471624805256
65,2019-06-01,,3.939631977279031,3.2825056712686194,4.728308697910356
66,2019-07-01,,4.056170201346868,3.280203015333556,5.0157007433338
67,2019-08-01,,4.012229470218696,3.150539540714155,5.109596344898547
68,2019-09-01,,4.139184147232139,3.1562453323517388,5.428236274628262
69,2019-10-01,,4.092033845758131,3.0297767085802474,5.526724443887041
70,2019-11-01,,4.010172152218152,2.8824023352354184,5.579193610080295
71,2019-12-01,,4.0170338793010485,2.802115869809234,5.758705898393487
72,2020-01-01,,4.043683609717546,2.7364716151016726,5.975350537261391
73,2020-02-01,,3.9953264437915683,2.6219608847042486,6.08805168894071
74,2020-03-01,,3.9067645734150824,2.4445431010362504,6.243624596195982
75,2020-04-01,,4.026057981790999,2.4020772307449585,6.747969076629587
76,2020-05-01,,4.007302520713252,2.2793653113701846,7.045151302606089
77,2020-06-01,,4.074442388428432,2.208768826120291,7.515988355278553
78,2020-07-01,,4.167878484866551,2.1524760385565385,8.070338881106766
79,2020-08-01,,4.15101412066507,2.041303251717253,8.441135933852669
80,2020-09-01,,4.229766017671025,1.9795438051316638,9.037900812230138
81,2020-10-01,,4.134884242190549,1.8405844393803081,9.28904283362955
82,2020-11-01,,4.039412235204993,1.709187062899682,9.546556699441556
83,2020-12-01,,4.0515045413593604,1.6285188710190257,10.079520317983315
84,2021-01-01,,4.043508359985499,1.5429754019264739,10.596383997346273
85,2021-02-01,,3.9907951321410238,1.4447692659774412,11.023521998819412
86,2021-03-01,,3.8564503094130695,1.2969957960006806,11.466659363762778
87,2021-04-01,,3.9458922959638723,1.231823352968232,12.639852925201508
88,2021-05-01,,3.899369901892484,1.1289304363393535,13.468576222542724
89,2021-06-01,,3.899525396867001,1.0460534271368112,14.536827590568125
90,2021-07-01,,3.9677472380244456,0.9852411381020274,15.978847752112783
91,2021-08-01,,3.9037537356752545,0.8964274249869654,17.000030124045008
92,2021-09-01,,3.965342705582639,0.8412377368773818,18.691437727322683
93,2021-10-01,,3.860765561108695,0.755932958107567,19.71803260855036
94,2021-11-01,,3.740271723020266,0.6752248223860162,20.718480864773838
95,2021-12-01,,3.7109234177995027,0.6170558797907766,22.31718887022359
