,fecha,Reserva_Hipotecario,0,1,2
0,2014-01-01,,,,
1,2014-02-01,,,,
2,2014-03-01,,,,
3,2014-04-01,,,,
4,2014-05-01,,,,
5,2014-06-01,,,,
6,2014-07-01,,,,
7,2014-08-01,,,,
8,2014-09-01,,,,
9,2014-10-01,,,,
10,2014-11-01,,,,
11,2014-12-01,,,,
12,2015-01-01,,,,
13,2015-02-01,,,,
14,2015-03-01,,,,
15,2015-04-01,,,,
16,2015-05-01,,,,
17,2015-06-01,,,,
18,2015-07-01,1.16,,,
19,2015-08-01,1.13,,,
20,2015-09-01,1.15,,,
21,2015-10-01,1.14,,,
22,2015-11-01,1.11,,,
23,2015-12-01,1.07,,,
24,2016-01-01,1.0,,,
25,2016-02-01,1.1,,,
26,2016-03-01,1.04,,,
27,2016-04-01,0.97,,,
28,2016-05-01,0.97,,,
29,2016-06-01,0.96,,,
30,2016-07-01,1.01,,,
31,2016-08-01,0.97,,,
32,2016-09-01,0.96,,,
33,2016-10-01,0.96,,,
34,2016-11-01,0.92,,,
35,2016-12-01,0.9,,,
36,2017-01-01,0.93,,,
37,2017-02-01,0.95,,,
38,2017-03-01,0.94,,,
39,2017-04-01,1.02,,,
40,2017-05-01,0.97,,,
41,2017-06-01,0.96,,,
42,2017-07-01,0.98,,,
43,2017-08-01,0.98,,,
44,2017-09-01,0.96,,,
45,2017-10-01,0.98,,,
46,2017-11-01,0.98,,,
47,2017-12-01,0.94,,,
48,2018-01-01,0.93,,,
49,2018-02-01,0.96,,,
50,2018-03-01,,0.9140785887670044,0.8422976510140464,0.9919767263227768
51,2018-04-01,,0.8839268139863774,0.7829803365545325,0.9978879111093623
52,2018-05-01,,0.8602184640362879,0.7366372041046549,1.0045322198576072
53,2018-06-01,,0.8388207226378194,0.6961945841024397,1.0106660132005583
54,2018-07-01,,0.8593192531898256,0.692238534174557,1.0667270636461201
55,2018-08-01,,0.8185737665260568,0.640608271365656,1.0459793312006531
56,2018-09-01,,0.7892374207663327,0.6004034299812987,1.037461938479091
57,2018-10-01,,0.7739209254748561,0.5725632760999617,1.0460915393799874
58,2018-11-01,,0.7300869860262091,0.5254530039244402,1.0144142353052055
59,2018-12-01,,0.6881387249940838,0.48191984423603823,0.9826009667378461
60,2019-01-01,,0.6783716728998582,0.4623696405911602,0.9952818831370096
61,2019-02-01,,0.6700546189090173,0.44454979317294424,1.0099502895205337
62,2019-03-01,,0.6300041629785142,0.40260225768735525,0.9858495271491472
63,2019-04-01,,0.6330434753687417,0.3898776290332794,1.0278713418376917
64,2019-05-01,,0.5795347741972481,0.3441307960412941,0.9759677377538557
65,2019-06-01,,0.5443982433642272,0.311787944647703,0.9505481288345886
66,2019-07-01,,0.5289484486173932,0.29226406765698143,0.9573070803323012
67,2019-08-01,,0.49427116673742455,0.2635396739675555,0.9270102773901562
68,2019-09-01,,0.4556579882777351,0.23448798702425241,0.8854364136779365
69,2019-10-01,,0.4333665397143357,0.21528147762095182,0.8723767591127821
70,2019-11-01,,0.40046595003880153,0.19206337629909645,0.8350003016230134
71,2019-12-01,,0.358353774996979,0.16594639487254423,0.7738488573567204
72,2020-01-01,,0.3312340895372856,0.14811863516415955,0.7407307119053355
73,2020-02-01,,0.3147149035943589,0.1359085461730337,0.7287655804831111
74,2020-03-01,,0.2776767791326286,0.11279536485145511,0.6835776786662517
75,2020-04-01,,0.25196677179979304,0.09635506181460492,0.65888862396626
76,2020-05-01,,0.2227069847854902,0.0802300315889236,0.6182024372914746
77,2020-06-01,,0.19810874956186844,0.06726991899161336,0.5834268457772351
78,2020-07-01,,0.18377008784784357,0.058844953952154534,0.5739055419273998
79,2020-08-01,,0.1596877179436448,0.04823861665807819,0.5286255914591762
80,2020-09-01,,0.1389892599070425,0.039622328642613724,0.4875537362721012
81,2020-10-01,,0.12322631019401652,0.03316068052022359,0.4579135073772484
82,2020-11-01,,0.10512779635951715,0.02671206659324754,0.41374011736710303
83,2020-12-01,,0.08852819287797363,0.021243979304896268,0.3689158618429548
84,2021-01-01,,,,
85,2021-02-01,,,,
86,2021-03-01,,,,
87,2021-04-01,,,,
88,2021-05-01,,,,
89,2021-06-01,,,,
90,2021-07-01,,,,
91,2021-08-01,,,,
92,2021-09-01,,,,
93,2021-10-01,,,,
94,2021-11-01,,,,
95,2021-12-01,,,,
